name,product_code,brand,category,subcategory,family,reviews,rating,url_image,internet_price,normal_price,seller,url_product,price_diff_%
Hawaianas Mujer Sybilla slide3,883210692,SYBILLA,Calzado y zapatillas,Zapatos,Zapatos Mujer,29,4.8276,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883210692_1/w=800,h=800,fit=pad",39.89,59.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883210690/Hawaianas-Mujer-Sybilla-slide3/883210692,33.40567612687813
Plato Fondo Hamptons Melamine 28cm Turquesa Basement Home,883157807,BASEMENT HOME,Decohogar,Menaje,Menaje Comedor,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883157807_1/w=800,h=800,fit=pad",21.89,44.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883157807/Plato-Fondo-Hamptons-Melamine-28cm-Turquesa-Basement-Home/883157807,51.24721603563474
Bandeja Limones 48cm Basement Home,882865871,BASEMENT HOME,Decohogar,Menaje,Menaje Comedor,2,4.5,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/882865871_1/w=800,h=800,fit=pad",34.89,69.9,falabella,https://www.falabella.com.pe/falabella-pe/product/882865871/Bandeja-Limones-48cm-Basement-Home/882865871,50.08583690987125
Traje De Baño Niña Gabbys Dollhouse,883223340,LA CASA DE GABBY,Niños y Juguetería,Moda Infantil,Ropa de niñas,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883223340_1/w=800,h=800,fit=pad",24.89,49.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883223337/Traje-De-Bano-Nina-Gabbys-Dollhouse/883223340,50.12024048096192
Sandalias Hombre Doo Australia Fliparty,883236465,DOO AUSTRALIA,Calzado y zapatillas,Zapatos,Zapatos Hombre,2,5.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883236465_1/w=800,h=800,fit=pad",19.89,69.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883236463/Sandalias-Hombre-Doo-Australia-Fliparty/883236465,71.54506437768241
Uriage Bariésun Fluido Mat SPF50+ 50ml - Bloqueador solar facial para pieles mixtas a grasas,19108647,URIAGE,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,4,4.25,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/19108647_1/w=800,h=800,fit=pad",82.4,109.9,falabella,https://www.falabella.com.pe/falabella-pe/product/19108647/Uriage-Bariesun-Fluido-Mat-SPF50+-50ml-Bloqueador-solar-facial-para-pieles-mixtas-a-grasas/19108647,25.022747952684256
Lentes De Sol Sybilla,883215200,SYBILLA,Moda y accesorios,Mujer,Accesorios,3,4.6667,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883215200_1/w=800,h=800,fit=pad",24.89,39.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883215199/Lentes-De-Sol-Sybilla/883215200,37.61904761904761
Sandalias Mujer Reef  Light Azul,20697552,REEF,Calzado y zapatillas,Zapatos,Zapatos Mujer,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20697552_3/w=800,h=800,fit=pad",71.92,89.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20697547/Sandalias-Mujer-Reef-Light-Azul/20697552,20.000000000000004
Uriage Bebé 1era Crema Mineral Spf50+ 50ml - Protección Solar Muy Alta Para Bebés,20272231,URIAGE,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del cuerpo,1,4.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/20272231_1/w=800,h=800,fit=pad",72.7,96.9,falabella,https://www.falabella.com.pe/falabella-pe/product/20272231/Uriage-Bebe-1era-Crema-Mineral-Spf50+-50ml-Proteccion-Solar-Muy-Alta-Para-Bebes/20272231,24.97420020639835
Uriage Bariésun Aceite Seco Spf50+ 50ml - Protege La Piel E Ilumina El Bronceado,19564559,URIAGE,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del cuerpo,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/19564559_1/w=800,h=800,fit=pad",89.9,119.9,falabella,https://www.falabella.com.pe/falabella-pe/product/19564559/Uriage-Bariesun-Aceite-Seco-Spf50+-50ml-Protege-La-Piel-E-Ilumina-El-Bronceado/19564559,25.0208507089241
